`,Time,x,y,z,traj_tx,traj_ty,traj_tz
160,1.6,422.4298115,-12.24737364,0.691923625,421.837584,-12.25,0
161,1.61,422.5492752,-12.2471381,0.691961789,421.9571566,-12.25,0
162,1.62,422.6690065,-12.24689545,0.691980307,422.0769716,-12.25,0
163,1.63,422.7890055,-12.24664582,0.691979001,422.197029,-12.25,0
164,1.64,422.9092709,-12.24638945,0.691957685,422.3173266,-12.25,0
165,1.65,423.0297731,-12.24612669,0.691914208,422.4378216,-12.25,0
166,1.66,423.1504444,-12.24585815,0.691843117,422.5584321,-12.25,0
167,1.67,423.2712137,-12.24558462,0.691735893,422.679077,-12.25,0
168,1.68,423.3920122,-12.24530715,0.691581813,422.7996824,-12.25,0
169,1.69,423.5128006,-12.2450268,0.691372119,422.9202167,-12.25,0
170,1.7,423.6335753,-12.24474459,0.691103859,423.0406847,-12.25,0
171,1.71,423.754337,-12.24446148,0.690781203,423.1610901,-12.25,0
172,1.72,423.8750857,-12.24417836,0.690412577,423.281434,-12.25,0
173,1.73,423.9958208,-12.24389601,0.690006694,423.4017176,-12.25,0
174,1.74,424.1165417,-12.24361508,0.689570626,423.5219437,-12.25,0
175,1.75,424.2372473,-12.24333608,0.689109225,423.6421164,-12.25,0
176,1.76,424.3579371,-12.24305944,0.688625452,423.7622413,-12.25,0
177,1.77,424.4786104,-12.24278545,0.688121015,423.8823253,-12.25,0
178,1.78,424.5992669,-12.2425143,0.687597322,424.0023751,-12.25,0
179,1.79,424.7199062,-12.2422461,0.687055985,424.1223971,-12.25,0
180,1.8,424.840528,-12.24198085,0.686498898,424.2423971,-12.25,0
181,1.81,424.961132,-12.24171852,0.685928345,424.3623802,-12.25,0
182,1.82,425.0817179,-12.24145901,0.685346998,424.4823512,-12.25,0
183,1.83,425.2022854,-12.24120223,0.684757929,424.6023145,-12.25,0
184,1.84,425.3228343,-12.24094807,0.684164565,424.7222741,-12.25,0
185,1.85,425.4433644,-12.24069642,0.683570559,424.8422334,-12.25,0
186,1.86,425.5638753,-12.24044719,0.68297979,424.9621957,-12.25,0
187,1.87,425.684367,-12.24020028,0.682396275,425.0821636,-12.25,0
188,1.88,425.8048393,-12.23995564,0.681824131,425.2021395,-12.25,0
189,1.89,425.9252952,-12.2397132,0.681267579,425.3221307,-12.25,0
190,1.9,426.0457499,-12.23947288,0.680731518,425.4421584,-12.25,0
191,1.91,426.1662219,-12.23923459,0.680221737,425.5622458,-12.25,0
192,1.92,426.2867299,-12.23899825,0.679744441,425.682415,-12.25,0
193,1.93,426.4072923,-12.23876376,0.679305599,425.8026876,-12.25,0
194,1.94,426.5279277,-12.238531,0.678910266,425.9230847,-12.25,0
