`,Time,traj_tx,traj_ty,traj_tz,,,
401,4.01,452.6498858,-12.25,0,,,
402,4.02,452.7837689,-12.25,0,,,
403,4.03,452.9177343,-12.25,0,,,
404,4.04,453.0517796,-12.25,0,,,
405,4.05,453.1859025,-12.25,0,,,
406,4.06,453.3201009,-12.25,0,,,
407,4.07,453.4543728,-12.25,0,,,
408,4.08,453.5887165,-12.25,0,,,
409,4.09,453.7231301,-12.25,0,,,
410,4.1,453.857612,-12.25,0,,,
411,4.11,453.9921606,-12.25,0,,,
412,4.12,454.1267747,-12.25,0,,,
413,4.13,454.2614528,-12.25,0,,,
414,4.14,454.3961939,-12.25,0,,,
415,4.15,454.5309969,-12.25,0,,,
416,4.16,454.6658612,-12.25,0,,,
417,4.17,454.8007858,-12.25,0,,,
418,4.18,454.9357703,-12.25,0,,,
419,4.19,455.0708142,-12.25,0,,,
420,4.2,455.2059171,-12.25,0,,,
421,4.21,455.3410787,-12.25,0,,,
422,4.22,455.476299,-12.25,0,,,
423,4.23,455.6115778,-12.25,0,,,
424,4.24,455.7469151,-12.25,0,,,
425,4.25,455.882311,-12.25,0,,,
426,4.26,456.0177657,-12.25,0,,,
427,4.27,456.1532794,-12.25,0,,,
428,4.28,456.2888524,-12.25,0,,,
429,4.29,456.4244849,-12.25,0,,,
430,4.3,456.5601773,-12.25,0,,,
431,4.31,456.6959299,-12.25,0,,,
432,4.32,456.8317433,-12.25,0,,,
433,4.33,456.9676178,-12.25,0,,,
434,4.34,457.1035539,-12.25,0,,,
435,4.35,457.2395521,-12.25,0,,,
436,4.36,457.3756129,-12.25,0,,,
437,4.37,457.5117368,-12.25,0,,,
438,4.38,457.6479245,-12.25,0,,,
439,4.39,457.7841766,-12.25,0,,,
440,4.4,457.9204935,-12.25,0,,,
441,4.41,458.0568758,-12.25,0,,,
442,4.42,458.1933242,-12.25,0,,,
443,4.43,458.329839,-12.25,0,,,
444,4.44,458.466421,-12.25,0,,,
445,4.45,458.6030707,-12.25,0,,,
446,4.46,458.7397884,-12.25,0,,,
447,4.47,458.8765747,-12.25,0,,,
448,4.48,459.01343,-12.25,0,,,
449,4.49,459.1503547,-12.25,0,,,
450,4.5,459.2873492,-12.25,0,,,
451,4.51,459.4244137,-12.25,0,,,
452,4.52,459.5615486,-12.25,0,,,
453,4.53,459.6987542,-12.25,0,,,
454,4.54,459.8360306,-12.25,0,,,
455,4.55,459.9733781,-12.25,0,,,
456,4.56,460.1107969,-12.25,0,,,
457,4.57,460.248287,-12.25,0,,,
458,4.58,460.3858488,-12.25,0,,,
459,4.59,460.5234821,-12.25,0,,,
460,4.6,460.6611872,-12.25,0,,,
461,4.61,460.798964,-12.25,0,,,
462,4.62,460.9368126,-12.25,0,,,
463,4.63,461.0747329,-12.25,0,,,
464,4.64,461.2127251,-12.25,0,,,
465,4.65,461.3507889,-12.25,0,,,
466,4.66,461.4889245,-12.25,0,,,
467,4.67,461.6271316,-12.25,0,,,
468,4.68,461.7654103,-12.25,0,,,
469,4.69,461.9037604,-12.25,0,,,
470,4.7,462.0421818,-12.25,0,,,
471,4.71,462.1806743,-12.25,0,,,
472,4.72,462.319238,-12.25,0,,,
473,4.73,462.4578726,-12.25,0,,,
474,4.74,462.5965779,-12.25,0,,,
475,4.75,462.7353539,-12.25,0,,,
476,4.76,462.8742003,-12.25,0,,,
477,4.77,463.0131172,-12.25,0,,,
478,4.78,463.1521042,-12.25,0,,,
479,4.79,463.2911614,-12.25,0,,,
480,4.8,463.4302885,-12.25,0,,,
481,4.81,463.5694855,-12.25,0,,,
482,4.82,463.7087521,-12.25,0,,,
483,4.83,463.8480882,-12.25,0,,,
484,4.84,463.9874938,-12.25,0,,,
485,4.85,464.1269686,-12.25,0,,,
486,4.86,464.2665126,-12.25,0,,,
487,4.87,464.4061256,-12.25,0,,,
488,4.88,464.5458076,-12.25,0,,,
489,4.89,464.6855583,-12.25,0,,,
490,4.9,464.8253776,-12.25,0,,,
491,4.91,464.9652654,-12.25,0,,,
492,4.92,465.1052216,-12.25,0,,,
493,4.93,465.2452461,-12.25,0,,,
494,4.94,465.3853387,-12.25,0,,,
495,4.95,465.5254994,-12.25,0,,,
496,4.96,465.6657281,-12.25,0,,,
497,4.97,465.8060247,-12.25,0,,,
498,4.98,465.946389,-12.25,0,,,
499,4.99,466.0868211,-12.25,0,,,
500,5,466.2273208,-12.25,0,,,
501,5.01,466.3678882,-12.25,0,,,
502,5.02,466.508523,-12.25,0,,,
503,5.03,466.6492254,-12.25,0,,,
504,5.04,466.7899952,-12.25,0,,,
505,5.05,466.9308325,-12.25,0,,,
506,5.06,467.0717372,-12.25,0,,,
507,5.07,467.2127093,-12.25,0,,,
508,5.08,467.3537488,-12.25,0,,,
509,5.09,467.4948557,-12.25,0,,,
510,5.1,467.63603,-12.25,0,,,
511,5.11,467.7772717,-12.25,0,,,
512,5.12,467.9185809,-12.25,0,,,
513,5.13,468.0599575,-12.25,0,,,
514,5.14,468.2014017,-12.25,0,,,
515,5.15,468.3429135,-12.25,0,,,
516,5.16,468.4844929,-12.25,0,,,
517,5.17,468.62614,-12.25,0,,,
518,5.18,468.7678548,-12.25,0,,,
519,5.19,468.9096375,-12.25,0,,,
520,5.2,469.0514881,-12.25,0,,,
521,5.21,469.1934066,-12.25,0,,,
522,5.22,469.3353932,-12.25,0,,,
523,5.23,469.4774478,-12.25,0,,,
524,5.24,469.6195707,-12.25,0,,,
525,5.25,469.7617618,-12.25,0,,,
526,5.26,469.9040213,-12.25,0,,,
527,5.27,470.0463491,-12.25,0,,,
528,5.28,470.1887453,-12.25,0,,,
529,5.29,470.33121,-12.25,0,,,
530,5.3,470.4737432,-12.25,0,,,
531,5.31,470.616345,-12.25,0,,,
532,5.32,470.7590155,-12.25,0,,,
533,5.33,470.9017546,-12.25,0,,,
534,5.34,471.0445623,-12.25,0,,,
535,5.35,471.1874388,-12.25,0,,,
536,5.36,471.330384,-12.25,0,,,
537,5.37,471.473398,-12.25,0,,,
538,5.38,471.6164807,-12.25,0,,,
539,5.39,471.7596323,-12.25,0,,,
540,5.4,471.9028526,-12.25,0,,,
541,5.41,472.0461417,-12.25,0,,,
542,5.42,472.1894996,-12.25,0,,,
543,5.43,472.3329263,-12.25,0,,,
544,5.44,472.4764218,-12.25,0,,,
545,5.45,472.619986,-12.25,0,,,
546,5.46,472.763619,-12.25,0,,,
547,5.47,472.9073207,-12.25,0,,,
548,5.48,473.0510911,-12.25,0,,,
549,5.49,473.1949303,-12.25,0,,,
550,5.5,473.3388381,-12.25,0,,,
551,5.51,473.4828145,-12.25,0,,,
552,5.52,473.6268596,-12.25,0,,,
553,5.53,473.7709732,-12.25,0,,,
554,5.54,473.9151554,-12.25,0,,,
