,Time,tx,ty
24837,248.37,365.2702019,1133.25
24838,248.38,365.2840946,1133.25
24839,248.39,365.2979872,1133.25
24840,248.4,365.3118798,1133.25
24841,248.41,365.3257723,1133.25
24842,248.42,365.3396649,1133.25
24843,248.43,365.3535574,1133.25
24844,248.44,365.3674498,1133.25
24845,248.45,365.3813423,1133.25
24846,248.46,365.3952347,1133.25
24847,248.47,365.4091271,1133.25
24848,248.48,365.4230195,1133.25
24849,248.49,365.4369118,1133.25
24850,248.5,365.4508041,1133.25
24851,248.51,365.4646964,1133.25
24852,248.52,365.4785887,1133.25
24853,248.53,365.4924809,1133.25
24854,248.54,365.5063731,1133.25
24855,248.55,365.5202653,1133.25
24856,248.56,365.5341574,1133.25
24857,248.57,365.5480496,1133.25
24858,248.58,365.5619417,1133.25
24859,248.59,365.5758337,1133.25
24860,248.6,365.5897257,1133.25
24861,248.61,365.6036177,1133.25
24862,248.62,365.6175097,1133.25
24863,248.63,365.6314017,1133.25
24864,248.64,365.6452936,1133.25
24865,248.65,365.6591855,1133.25
24866,248.66,365.6730773,1133.25
24867,248.67,365.6869692,1133.25
24868,248.68,365.700861,1133.25
24869,248.69,365.7147527,1133.25
24870,248.7,365.7286445,1133.25
24871,248.71,365.7425362,1133.25
24872,248.72,365.7564279,1133.25
24873,248.73,365.7703195,1133.25
24874,248.74,365.7842112,1133.25
24875,248.75,365.7981028,1133.25
24876,248.76,365.8119943,1133.25
24877,248.77,365.8258859,1133.25
24878,248.78,365.8397774,1133.25
24879,248.79,365.8536688,1133.25
24880,248.8,365.8675603,1133.25
24881,248.81,365.8814517,1133.25
24882,248.82,365.8953431,1133.25
24883,248.83,365.9092344,1133.25
24884,248.84,365.9231258,1133.25
24885,248.85,365.937017,1133.25
24886,248.86,365.9509083,1133.25
24887,248.87,365.9647995,1133.25
24888,248.88,365.9786907,1133.25
24889,248.89,365.9925819,1133.25
24890,248.9,366.0064731,1133.25
24891,248.91,366.0203642,1133.25
24892,248.92,366.0342553,1133.25
24893,248.93,366.0481463,1133.25
24894,248.94,366.0620373,1133.25
24895,248.95,366.0759283,1133.25
24896,248.96,366.0898193,1133.25
24897,248.97,366.1037102,1133.25
24898,248.98,366.1176011,1133.25
24899,248.99,366.131492,1133.25
24900,249,366.1453828,1133.25
24901,249.01,366.1592736,1133.25
24902,249.02,366.1731644,1133.25
24903,249.03,366.1870551,1133.25
24904,249.04,366.2009458,1133.25
24905,249.05,366.2148365,1133.25
24906,249.06,366.2287271,1133.25
24907,249.07,366.2426178,1133.25
24908,249.08,366.2565083,1133.25
24909,249.09,366.2703989,1133.25
24910,249.1,366.2842894,1133.25
24911,249.11,366.2981799,1133.25
24912,249.12,366.3120704,1133.25
24913,249.13,366.3259608,1133.25
24914,249.14,366.3398512,1133.25
24915,249.15,366.3537416,1133.25
24916,249.16,366.3676319,1133.25
24917,249.17,366.3815222,1133.25
24918,249.18,366.3954125,1133.25
24919,249.19,366.4093027,1133.25
24920,249.2,366.4231929,1133.25
24921,249.21,366.4370831,1133.25
24922,249.22,366.4509732,1133.25
24923,249.23,366.4648633,1133.25
24924,249.24,366.4787534,1133.25
24925,249.25,366.4926434,1133.25
24926,249.26,366.5065335,1133.25
24927,249.27,366.5204235,1133.25
24928,249.28,366.5343134,1133.25
24929,249.29,366.5482033,1133.25
24930,249.3,366.5620932,1133.25
24931,249.31,366.5759831,1133.25
24932,249.32,366.5898729,1133.25
24933,249.33,366.6037627,1133.25
24934,249.34,366.6176525,1133.25
24935,249.35,366.6315422,1133.25
24936,249.36,366.6454319,1133.25
24937,249.37,366.6593216,1133.25
24938,249.38,366.6732112,1133.25
24939,249.39,366.6871008,1133.25
24940,249.4,366.7009904,1133.25
24941,249.41,366.7148799,1133.25
24942,249.42,366.7287694,1133.25
24943,249.43,366.7426589,1133.25
24944,249.44,366.7565484,1133.25
24945,249.45,366.7704378,1133.25
24946,249.46,366.7843272,1133.25
24947,249.47,366.7982165,1133.25
24948,249.48,366.8121059,1133.25
24949,249.49,366.8259952,1133.25
24950,249.5,366.8398844,1133.25
24951,249.51,366.8537737,1133.25
24952,249.52,366.8676629,1133.25
24953,249.53,366.881552,1133.25
24954,249.54,366.8954412,1133.25
24955,249.55,366.9093303,1133.25
24956,249.56,366.9232194,1133.25
24957,249.57,366.9371084,1133.25
24958,249.58,366.9509974,1133.25
24959,249.59,366.9648864,1133.25
24960,249.6,366.9787754,1133.25
24961,249.61,366.9926643,1133.25
24962,249.62,367.0065532,1133.25
24963,249.63,367.0204421,1133.25
24964,249.64,367.0343309,1133.25
24965,249.65,367.0482197,1133.25
24966,249.66,367.0621085,1133.25
24967,249.67,367.0759972,1133.25
24968,249.68,367.0898859,1133.25
24969,249.69,367.1037746,1133.25
24970,249.7,367.1176633,1133.25
24971,249.71,367.1315519,1133.25
24972,249.72,367.1454405,1133.25
24973,249.73,367.1593291,1133.25
24974,249.74,367.1732176,1133.25
24975,249.75,367.1871061,1133.25
24976,249.76,367.2009946,1133.25
